id,timestamp,x_coord,y_coord,target_class
ID_4EVSEL5M,2025-05-08 18:00:06.745173,-62.78531311764733,44.7776449723098,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:07.752357,-62.785264141833,44.7776530011334,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:09.753525,-62.78516683202655,44.77766895356053,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:11.751903,-62.78507079453591,44.77768762626477,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:13.738455,-62.78497750396913,44.777711445134045,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:16.756849,-62.78483962579177,44.77775379099993,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:17.750289,-62.784794218239625,44.77776792088645,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:18.742762,-62.78474885491162,44.77778203700791,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:19.738899,-62.78470332409246,44.77779620524564,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:21.737742,-62.78461196217742,44.77782463515044,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:22.735225,-62.78456636984691,44.77783882251874,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:23.729314,-62.78452093260731,44.77785296162256,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:26.723903,-62.78438405776958,44.777895554143775,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:27.716442,-62.78433869139191,44.77790967118302,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:28.724395,-62.78429262048443,44.777924007453215,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:30.738831,-62.78420054590712,44.77795265906005,heavy_vehicle
ID_KFO39X28,2025-05-08 18:00:34.743209,-62.68065843588733,44.808772019954205,light_vehicle
ID_4EVSEL5M,2025-05-08 18:00:34.743209,-62.78401751624146,44.77800961387084,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:35.745310,-62.78397171282247,44.77802386687975,heavy_vehicle
ID_KFO39X28,2025-05-08 18:00:35.745310,-62.68060906627503,44.80876635458867,light_vehicle
ID_4EVSEL5M,2025-05-08 18:00:36.748181,-62.78392587420584,44.77803813083786,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:37.741443,-62.78388047475696,44.77805225813325,heavy_vehicle
ID_KFO39X28,2025-05-08 18:00:38.745704,-62.68046124853026,44.808749391892746,light_vehicle
ID_4EVSEL5M,2025-05-08 18:00:39.750588,-62.78378864201256,44.77808083442348,heavy_vehicle
ID_4EVSEL5M,2025-05-08 18:00:40.747961,-62.78374305470801,44.77809502016487,heavy_vehicle
