id,timestamp,x_coord,y_coord,entity_class,entity_type
baa06f2e-aadf-488d-8ff8-79130d54d3a2,2023-05-01 00:00:00,2325.629626662792,396.5045348595959,infantry,target
blue-2,2023-05-01 00:00:00,4912.968703753782,4603.448817092176,mechanized_patrol,blue_force
blue-3,2023-05-01 00:00:00,1191.90436916353,4107.789503584126,mechanized_patrol,blue_force
blue-4,2023-05-01 00:00:00,10478.393920155175,5122.616691401181,infantry_squad,blue_force
blue-5,2023-05-01 00:00:00,8730.808853974808,3270.700111250393,uav_surveillance,blue_force
blue-6,2023-05-01 00:00:00,2219.0788610250593,5582.906438454107,uav_surveillance,blue_force
blue-7,2023-05-01 00:00:00,6061.976327026912,4601.039028693665,infantry_squad,blue_force
blue-8,2023-05-01 00:00:00,4241.923607619414,8991.680536288584,recon_team,blue_force
blue-9,2023-05-01 00:00:00,5166.283806314152,6155.517000233766,command_post,blue_force
blue-1,2023-05-01 00:00:00,6483.6391904019665,3288.87689936787,command_post,blue_force
a4ed3238-dd50-4baf-9bfc-9c10fa360ef8,2023-05-01 00:00:00,3998.248046797506,3335.3029021706097,heavy_vehicle,target
d0bd5f38-4760-4134-82f7-feefe513fd81,2023-05-01 00:00:00,1618.6856980437874,8107.157896627789,heavy_vehicle,target
ec240ea2-fe08-4666-a301-d1961779d099,2023-05-01 00:00:00,2884.0293827088594,1421.093337362152,infantry,target
blue-0,2023-05-01 00:00:00,8577.307321069267,1661.5259967176253,mechanized_patrol,blue_force
13776caa-8647-4ed9-8cf9-2152cf8082fe,2023-05-01 00:00:00,4622.602118511158,2699.4782678427796,light_vehicle,target
6e2b5ad6-6b51-4936-9ab5-862ee0fd1fd8,2023-05-01 00:00:00,4063.046190369283,5230.355891941687,civilian,target
19fdbb23-ce8a-428b-90c7-afd8afbccf8e,2023-05-01 00:00:00,4061.2231036539147,5168.25472799303,infantry,target
bd177664-2b9f-4106-b4fd-2440b82c4c2c,2023-05-01 00:00:00,260.6966350124901,8288.871983261595,heavy_vehicle,target
572a4184-841d-4e25-bdba-9283eae08aa6,2023-05-01 00:00:00,3103.467356438867,4628.232294849047,infantry,target
ae56af0b-55af-4e09-8c0e-353ceae7ccff,2023-05-01 00:00:00,4068.2791774940056,5170.477573784958,uav,target
