id,timestamp,x_coord,y_coord,jammer_type,power,range,angle,direction,freq_low,freq_high,mobility,attached_entity_type,attached_entity_id
jammer-static-0,2023-05-01 00:00:00,5966.201999039332,3979.567415213905,static_barrage,85.58151714100576,1840.9980704686031,360,266.6403880803633,30.13609960124505,302.71477537347124,static,,
jammer-static-1,2023-05-01 00:00:00,3374.7809594463697,3930.6435735629584,static_barrage,104.08074916199921,2024.4980251754453,360,257.76706065206525,30.603974920770707,297.5855946288498,static,,
jammer-static-2,2023-05-01 00:00:00,3182.2348186332842,8786.657555101177,static_directional,129.5795589826134,2953.5686388921017,60,100.03368300179106,291.4594128632276,3079.0482387019574,static,,
jammer-static-3,2023-05-01 00:00:00,4519.709202549349,4435.917521938513,static_barrage,93.75822889915885,1905.8083468888053,360,15.642159452314988,29.878274639015526,288.7447848855963,static,,
jammer-static-4,2023-05-01 00:00:00,5208.162525092908,6317.61865701198,static_directional,157.11118514185478,3217.0241401864664,60,207.84677229243434,306.1371550864477,2863.7473150966985,static,,
jammer-mobile-0,2023-05-01 00:00:00,5166.283806314152,6155.517000233766,vehicle_tactical,59.70443041321516,1071.0635442030293,180,311.93412003189707,19.760252450078333,497.67051511842175,mobile,blue_force,blue-9
jammer-mobile-1,2023-05-01 00:00:00,4241.923607619414,8991.680536288584,drone_jammer,32.421843761502615,829.3676264858668,90,25.704903448277395,1013.4978288197061,6020.483926217825,mobile,blue_force,blue-8
jammer-mobile-2,2023-05-01 00:00:00,6061.976327026912,4601.039028693665,drone_jammer,32.215371011878496,854.8563072303697,90,279.3599681566481,972.9048071964104,5719.260146342423,mobile,blue_force,blue-7
jammer-mobile-3,2023-05-01 00:00:00,1482.932541218217,1509.0309348009964,drone_jammer,32.61497124862771,754.0202470486626,90,179.72325341721984,1038.4683153886701,6085.711122120255,mobile,target,4bcb6c9a-c3db-4c78-9dc6-bf8ace954dd3
jammer-mobile-4,2023-05-01 00:00:00,10478.393920155177,5122.616691401181,drone_jammer,32.964165739827095,788.5494123671327,90,210.07185298043623,986.199644371361,6298.395466793497,mobile,blue_force,blue-4
jammer-mobile-5,2023-05-01 00:00:00,4912.968703753782,4603.448817092176,vehicle_tactical,52.548920834061796,1058.415872872593,180,151.97758804788626,19.127055412303914,494.0809643253268,mobile,blue_force,blue-2
jammer-mobile-6,2023-05-01 00:00:00,3998.248046797506,3335.3029021706097,vehicle_tactical,54.41443638720389,1036.342073805315,180,193.30931894716625,19.533650379905087,507.0480899289904,mobile,target,a4ed3238-dd50-4baf-9bfc-9c10fa360ef8
jammer-static-0,2023-05-01 00:05:00,5966.201999039332,3979.567415213905,static_barrage,85.58151714100576,1840.9980704686031,360,266.6403880803633,30.13609960124505,302.71477537347124,static,,
jammer-static-1,2023-05-01 00:05:00,3374.7809594463697,3930.6435735629584,static_barrage,104.08074916199921,2024.4980251754453,360,257.76706065206525,30.603974920770707,297.5855946288498,static,,
jammer-static-2,2023-05-01 00:05:00,3182.2348186332842,8786.657555101177,static_directional,129.5795589826134,2953.5686388921017,60,100.03368300179106,291.4594128632276,3079.0482387019574,static,,
jammer-static-3,2023-05-01 00:05:00,4519.709202549349,4435.917521938513,static_barrage,93.75822889915885,1905.8083468888053,360,15.642159452314988,29.878274639015526,288.7447848855963,static,,
jammer-static-4,2023-05-01 00:05:00,5208.162525092908,6317.61865701198,static_directional,157.11118514185478,3217.0241401864664,60,207.84677229243434,306.1371550864477,2863.7473150966985,static,,
jammer-mobile-0,2023-05-01 00:05:00,5166.283806314152,6155.517000233766,vehicle_tactical,59.70443041321516,1071.0635442030293,180,339.1630756831619,19.760252450078333,497.67051511842175,mobile,blue_force,blue-9
jammer-mobile-1,2023-05-01 00:05:00,4241.923607619414,8991.680536288584,drone_jammer,32.421843761502615,829.3676264858668,90,48.25607987096903,1013.4978288197061,6020.483926217825,mobile,blue_force,blue-8
jammer-mobile-2,2023-05-01 00:05:00,6384.7002415486095,4517.610100216169,drone_jammer,32.215371011878496,854.8563072303697,90,265.16331120171355,972.9048071964104,5719.260146342423,mobile,blue_force,blue-7
jammer-mobile-3,2023-05-01 00:05:00,1506.3514129477164,1380.235899932802,drone_jammer,32.61497124862771,754.0202470486626,90,204.48092377790908,1038.4683153886701,6085.711122120255,mobile,target,4bcb6c9a-c3db-4c78-9dc6-bf8ace954dd3
jammer-mobile-4,2023-05-01 00:05:00,10475.10886680948,5216.688311056401,drone_jammer,32.964165739827095,788.5494123671327,90,232.30296717064226,986.199644371361,6298.395466793497,mobile,blue_force,blue-4
jammer-mobile-5,2023-05-01 00:05:00,4828.94459503729,2938.9015131887463,vehicle_tactical,52.548920834061796,1058.415872872593,180,139.88427553480423,19.127055412303914,494.0809643253268,mobile,blue_force,blue-2
jammer-mobile-6,2023-05-01 00:05:00,3998.248046797506,3335.3029021706097,vehicle_tactical,54.41443638720389,1036.342073805315,180,201.64628863912657,19.533650379905087,507.0480899289904,mobile,target,a4ed3238-dd50-4baf-9bfc-9c10fa360ef8
jammer-static-0,2023-05-01 00:10:00,5966.201999039332,3979.567415213905,static_barrage,85.58151714100576,1840.9980704686031,360,266.6403880803633,30.13609960124505,302.71477537347124,static,,
jammer-static-1,2023-05-01 00:10:00,3374.7809594463697,3930.6435735629584,static_barrage,104.08074916199921,2024.4980251754453,360,257.76706065206525,30.603974920770707,297.5855946288498,static,,
jammer-static-2,2023-05-01 00:10:00,3182.2348186332842,8786.657555101177,static_directional,129.5795589826134,2953.5686388921017,60,100.03368300179106,291.4594128632276,3079.0482387019574,static,,
jammer-static-3,2023-05-01 00:10:00,4519.709202549349,4435.917521938513,static_barrage,93.75822889915885,1905.8083468888053,360,15.642159452314988,29.878274639015526,288.7447848855963,static,,
jammer-static-4,2023-05-01 00:10:00,5208.162525092908,6317.61865701198,static_directional,157.11118514185478,3217.0241401864664,60,207.84677229243434,306.1371550864477,2863.7473150966985,static,,
jammer-mobile-0,2023-05-01 00:10:00,5166.283806314152,6155.517000233766,vehicle_tactical,59.70443041321516,1071.0635442030293,180,345.7012883694522,19.760252450078333,497.67051511842175,mobile,blue_force,blue-9
jammer-mobile-1,2023-05-01 00:10:00,4184.057791024774,9413.86068502432,drone_jammer,32.421843761502615,829.3676264858668,90,27.426435983947123,1013.4978288197061,6020.483926217825,mobile,blue_force,blue-8
jammer-mobile-2,2023-05-01 00:10:00,6536.831795786536,4478.281832348269,drone_jammer,32.215371011878496,854.8563072303697,90,280.9139592062226,972.9048071964104,5719.260146342423,mobile,blue_force,blue-7
jammer-mobile-3,2023-05-01 00:10:00,1596.181861481555,1414.454513098709,drone_jammer,32.61497124862771,754.0202470486626,90,206.30214410961975,1038.4683153886701,6085.711122120255,mobile,target,4bcb6c9a-c3db-4c78-9dc6-bf8ace954dd3
jammer-mobile-4,2023-05-01 00:10:00,10465.26971122208,5310.301623236706,drone_jammer,32.964165739827095,788.5494123671327,90,202.33728093831888,986.199644371361,6298.395466793497,mobile,blue_force,blue-4
jammer-mobile-5,2023-05-01 00:10:00,4100.275931812324,2786.678214326678,vehicle_tactical,52.548920834061796,1058.415872872593,180,129.3336389550846,19.127055412303914,494.0809643253268,mobile,blue_force,blue-2
jammer-mobile-6,2023-05-01 00:10:00,3998.248046797506,3335.3029021706097,vehicle_tactical,54.41443638720389,1036.342073805315,180,172.8148931822765,19.533650379905087,507.0480899289904,mobile,target,a4ed3238-dd50-4baf-9bfc-9c10fa360ef8
jammer-static-0,2023-05-01 00:15:00,5966.201999039332,3979.567415213905,static_barrage,85.58151714100576,1840.9980704686031,360,266.6403880803633,30.13609960124505,302.71477537347124,static,,
jammer-static-1,2023-05-01 00:15:00,3374.7809594463697,3930.6435735629584,static_barrage,104.08074916199921,2024.4980251754453,360,257.76706065206525,30.603974920770707,297.5855946288498,static,,
jammer-static-2,2023-05-01 00:15:00,3182.2348186332842,8786.657555101177,static_directional,129.5795589826134,2953.5686388921017,60,100.03368300179106,291.4594128632276,3079.0482387019574,static,,
jammer-static-3,2023-05-01 00:15:00,4519.709202549349,4435.917521938513,static_barrage,93.75822889915885,1905.8083468888053,360,15.642159452314988,29.878274639015526,288.7447848855963,static,,
jammer-static-4,2023-05-01 00:15:00,5208.162525092908,6317.61865701198,static_directional,157.11118514185478,3217.0241401864664,60,207.84677229243434,306.1371550864477,2863.7473150966985,static,,
jammer-mobile-0,2023-05-01 00:15:00,5166.283806314152,6155.517000233766,vehicle_tactical,59.70443041321516,1071.0635442030293,180,11.447205345329223,19.760252450078333,497.67051511842175,mobile,blue_force,blue-9
jammer-mobile-1,2023-05-01 00:15:00,4161.943021390598,8879.35076818718,drone_jammer,32.421843761502615,829.3676264858668,90,50.14974865333818,1013.4978288197061,6020.483926217825,mobile,blue_force,blue-8
jammer-mobile-2,2023-05-01 00:15:00,6491.3459978534775,4148.066518806477,drone_jammer,32.215371011878496,854.8563072303697,90,300.81389096789337,972.9048071964104,5719.260146342423,mobile,blue_force,blue-7
jammer-mobile-3,2023-05-01 00:15:00,7660.692458723635,3935.2410139022913,drone_jammer,32.61497124862771,754.0202470486626,90,228.98272006186218,1038.4683153886701,6085.711122120255,mobile,target,4bcb6c9a-c3db-4c78-9dc6-bf8ace954dd3
jammer-mobile-4,2023-05-01 00:15:00,10448.924388769974,5403.000553295133,drone_jammer,32.964165739827095,788.5494123671327,90,229.15424765619852,986.199644371361,6298.395466793497,mobile,blue_force,blue-4
jammer-mobile-5,2023-05-01 00:15:00,4256.117522485665,3173.5963602621373,vehicle_tactical,52.548920834061796,1058.415872872593,180,104.47284607915734,19.127055412303914,494.0809643253268,mobile,blue_force,blue-2
jammer-mobile-6,2023-05-01 00:15:00,3998.248046797506,3335.3029021706097,vehicle_tactical,54.41443638720389,1036.342073805315,180,171.97432098127334,19.533650379905087,507.0480899289904,mobile,target,a4ed3238-dd50-4baf-9bfc-9c10fa360ef8
jammer-static-0,2023-05-01 00:20:00,5966.201999039332,3979.567415213905,static_barrage,85.58151714100576,1840.9980704686031,360,266.6403880803633,30.13609960124505,302.71477537347124,static,,
jammer-static-1,2023-05-01 00:20:00,3374.7809594463697,3930.6435735629584,static_barrage,104.08074916199921,2024.4980251754453,360,257.76706065206525,30.603974920770707,297.5855946288498,static,,
jammer-static-2,2023-05-01 00:20:00,3182.2348186332842,8786.657555101177,static_directional,129.5795589826134,2953.5686388921017,60,100.03368300179106,291.4594128632276,3079.0482387019574,static,,
jammer-static-3,2023-05-01 00:20:00,4519.709202549349,4435.917521938513,static_barrage,93.75822889915885,1905.8083468888053,360,15.642159452314988,29.878274639015526,288.7447848855963,static,,
jammer-static-4,2023-05-01 00:20:00,5208.162525092908,6317.61865701198,static_directional,157.11118514185478,3217.0241401864664,60,207.84677229243434,306.1371550864477,2863.7473150966985,static,,
jammer-mobile-0,2023-05-01 00:20:00,5149.661865179947,6161.260278442192,vehicle_tactical,59.70443041321516,1071.0635442030293,180,345.59995645343224,19.760252450078333,497.67051511842175,mobile,blue_force,blue-9
jammer-mobile-1,2023-05-01 00:20:00,4807.313949402524,8712.195721235343,drone_jammer,32.421843761502615,829.3676264858668,90,65.78587856877206,1013.4978288197061,6020.483926217825,mobile,blue_force,blue-8
jammer-mobile-2,2023-05-01 00:20:00,6445.860199920419,3817.8512052646847,drone_jammer,32.215371011878496,854.8563072303697,90,316.76395672631264,972.9048071964104,5719.260146342423,mobile,blue_force,blue-7
